Freq (Hz)	Mag (abs)	Phase (deg)
5	0.980311	-11.7753
5.27483	0.978195	-12.4069
5.56476	0.975919	-13.0805
5.87063	0.973343	-13.77
6.19332	0.97048	-14.4997
6.53374	0.967374	-15.2681
6.89287	0.963906	-16.0543
7.27174	0.960187	-16.9056
7.67144	0.956014	-17.7729
8.0931	0.95145	-18.6855
8.53795	0.946559	-19.66
9.00724	0.941085	-20.6673
9.50233	0.935089	-21.7148
10	0.928807	-22.6898
10.4761	0.922853	-23.6933
10.9748	0.91643	-24.7195
11.4972	0.909189	-25.7538
12.0445	0.90194	-26.8405
12.6179	0.893775	-27.9351
13.2186	0.885216	-29.0877
13.8479	0.876378	-30.2726
14.5071	0.866554	-31.4782
15.1977	0.855787	-32.6504
15.9212	0.845747	-33.9923
16.6792	0.833853	-35.249
17.4732	0.822223	-36.6256
18.305	0.809538	-37.952
19.1764	0.796175	-39.3375
20.0893	0.782069	-40.6718
21.0456	0.76868	-42.1694
22.0475	0.753259	-43.5487
23.0971	0.737294	-44.9635
24.1966	0.722695	-46.4272
25.3485	0.706152	-47.8618
26.5552	0.689487	-49.3201
27.8194	0.672899	-50.8111
29.1438	0.656659	-52.3022
30.5311	0.637235	-53.7151
31.9846	0.619464	-55.03
33.5072	0.602432	-56.5218
35.1023	0.584365	-58.0409
36.7734	0.565681	-59.4256
38.524	0.549539	-60.9431
40.3579	0.53126	-62.3859
42.2792	0.514294	-63.9736
44.2919	0.496227	-65.0711
46.4004	0.480053	-66.5601
48.6093	0.462409	-68.013
50.9234	0.446488	-69.0374
53.3476	0.429934	-70.4271
55.8872	0.412182	-71.8891
58.5477	0.397141	-73.1925
61.3349	0.38475	-74.7703
64.2548	0.368397	-75.3802
67.3136	0.354572	-76.9691
70.5181	0.338649	-78.1547
73.8751	0.326419	-79.1378
77.3919	0.314312	-80.6505
81.0762	0.300005	-81.3774
84.9358	0.286069	-82.5663
88.9792	0.275853	-83.5949
93.2151	0.26551	-85.1605
97.6526	0.253146	-86.2304
100	0.245567	-87.0277
102.352	0.239158	-86.312
104.759	0.238432	-88.5725
107.223	0.232531	-88.2262
109.745	0.229413	-89.3178
112.327	0.225779	-90.5314
114.969	0.215931	-91.1186
117.673	0.209718	-90.6164
120.441	0.208902	-90.7419
123.273	0.204505	-91.4878
126.173	0.201639	-93.3683
129.141	0.191871	-91.5566
132.178	0.189271	-93.5411
135.287	0.184324	-94.57
138.469	0.184434	-95.354
141.726	0.178555	-96.6225
145.059	0.173551	-96.9124
148.471	0.172235	-97.3121
151.963	0.164625	-97.2363
155.538	0.162803	-97.3575
159.196	0.158583	-99.3833
162.94	0.152581	-97.8126
166.773	0.148819	-99.0677
170.696	0.149507	-102.038
174.71	0.146644	-100.446
178.82	0.138629	-100.71
183.026	0.137361	-101.223
187.331	0.138424	-103.518
191.737	0.134097	-103.225
196.247	0.124275	-102.88
200.862	0.127176	-106.622
205.587	0.124915	-106.302
210.422	0.121769	-106.938
215.372	0.122567	-107.527
220.437	0.113989	-106.325
225.622	0.108246	-105.746
230.929	0.111679	-108.229
236.361	0.107199	-108.706
241.92	0.110267	-110.724
247.61	0.0998428	-109.286
253.434	0.09981	-111.247
259.395	0.0977303	-112.167
265.496	0.0960169	-113.8
271.741	0.0911456	-114.058
278.132	0.0876449	-113.845
284.674	0.0945527	-115.837
291.37	0.0878548	-115.376
298.223	0.0856426	-117.298
305.237	0.0848184	-119.79
312.417	0.0837918	-118.65
319.765	0.0830976	-119.076
327.286	0.0786672	-121.676
334.984	0.0750386	-122.361
342.863	0.0731404	-121.558
350.928	0.0753664	-122.515
359.182	0.0689896	-124.818
367.63	0.0725454	-124.494
376.277	0.0681234	-126.516
385.127	0.0677081	-129.11
394.185	0.059111	-128.036
403.457	0.0540036	-125.322
412.947	0.0539184	-130.912
422.659	0.061895	-132.469
432.601	0.0584594	-130.688
442.776	0.0576538	-134.26
453.19	0.044806	-135.016
463.849	0.0554627	-136.225
474.759	0.0502047	-137.902
485.926	0.0507022	-136.726
497.355	0.04995	-138.412
509.054	0.0589884	-143.863
521.027	0.0484561	-138.517
533.282	0.0493442	-143.552
545.825	0.0416726	-144.712
558.663	0.0418417	-147.694
571.803	0.045046	-143.572
585.252	0.0482754	-140.636
599.018	0.0387422	-148.245
613.107	0.0380012	-154.884
627.528	0.0408841	-152.465
642.288	0.04029	-152.542
657.395	0.0373596	-148.388
672.857	0.0404111	-153.747
688.683	0.0379012	-154.776
704.882	0.0337862	-159.856
721.461	0.0337892	-161.756
738.43	0.0355945	-161.481
755.799	0.0315466	-163.065
773.575	0.0288665	-175.183
791.77	0.0317995	-165.612
810.393	0.0322819	-172.77
829.454	0.0295492	-168.496
848.964	0.0287301	-170.86
868.932	0.0304578	-171.884
889.37	0.0230353	-159.451
910.288	0.0288509	-174.929
931.699	0.0283784	-174.491
953.613	0.0315134	-178.865
976.043	0.0289851	-180.424
999	0.0555967	-180.26
